IMS_ID,IMS_Name,Matched_DB_ID,Matched_DB_Name,Distance_KM,Confidence_Score
270,Eshkol,403.0,Urim,2.91,50
704,Makhtesh Ramon,99,Mizpe Ramon,1.0,50
257,Qasr al-Yahud,,NO MATCH FOUND,,0
215,Meshushim Stream,4026.0,Had-Nes,2.05,50
218,Kursi ,4702.0,Ramot,3.2,50
253,Mount Gerizim,3749.0,Yizhar,4.8,50
230,Kokhav HaYarden,265.0,Bet Yosef,4.84,50
245,City of David,127.0,Ramat Rahel,4.26,50
216,Yehudiya ,4012.0,Ani'am,3.81,50
256,En Mabo‘a,3638.0,Kefar Adummim,1.79,50
252,Sebastia,3571.0,Shave Shomeron,1.47,50
264,Tel Hebron,3611.0,Qiryat Arba,2.06,50
254,Nebi Samuel,3644.0,Giv'on HaHadasha,2.77,50
226,Mishmar HaCarmel ,769.0,Nir Ezyon,3.58,50
227,Nahal Me‘arot,426.0,En Karmel,1.44,50
261,Qumran,3601.0,Qalya,1.04,50
710,Tal Menashe,2710.0,Umm al-Fahm,4.24,50
240,Apollonia,247.0,Rishpon,1.88,50
233,Gan HaShlosha,95.0,Bet Alfa,1.82,50
204,Horshat Tal ,324.0,She'ar Yashuv,1.56,50
224,Mount Carmel,317.0,Bet Oren,2.95,50
235,Taninim Stream,800.0,Bet Hananya,2.11,50
205,Ayun Stream,416.0,Ma'yan Barukh,4.12,50
251,Haniya Spring,783.0,Even Sappir,2.92,50
244,En Hemed,886.0,Etanim,3.51,50
201,Banias,303.0,Dan,4.04,50
213,Kfar Nahum,1252.0,Korazim,4.0,47
211,Amud Stream,1064.0,Amirim,3.78,50
207,Tel Hazor,77.0,Ayyelet HaShahar,0.85,50
273,Ben-Gurion’s Tomb,1140.0,Midreshet Ben Gurion,0.54,50
231,Maayan Harod,89.0,En Harod (Ihud),3.67,52
263,Herodium,3726.0,Noqedim,1.88,53
221,En Afek,313.0,Afeq,1.8,55
714,Sosia,3756.0,Suseya,1.65,55
209,Yehiam Fortress,409.0,Yehi'am,0.36,55
200,Nimrod Fortress,4035.0,Nimrod,3.67,57
237,Tel Dor,738.0,Dor,1.43,60
202,Tel Dan,303.0,Dan,0.77,60
223,Hai-Bar Carmel,2100.0,Tirat Karmel,4.34,62
236,Caesarea,1167.0,Qesaryya,1.81,62
238,Mikhmoret Sea Turtle,382.0,Mikhmoret,0.74,62
19,Modiin,3797.0,Modi'in Illit,4.6,63
277,Hay-Bar Yotvata,866.0,Yotvata,3.33,64
2,Tel Aviv Coast,5000.0,Tel Aviv - Yafo,1.07,69
63,Araba,531.0,Arrabe,0.07,73
81,Ganei Tikva,229.0,Ganne Tiqwa,0.01,73
9,Bnei Brak,6100.0,Bene Beraq,0.14,74
59,Tira,2720.0,Tire,0.09,75
712,Nokdim,3726.0,Noqedim,0.58,77
229,Tel Megiddo,586.0,Megiddo,0.65,78
269,Tel Beer Sheva,1054.0,Tel Sheva,1.96,78
228,Dor-HaBonim,675.0,HaBonim,0.78,78
34,Nes-Ziona,7200.0,Nes Ziyyona,0.41,80
206,Hula,253.0,Hulata,2.74,80
239,Beit Yanai,200.0,Bet Yannay,0.66,80
232,Bet Alpha,95.0,Bet Alfa,0.49,82
83,Maghar,481.0,Mughar,0.02,83
70,Kiryat Malachi,1034.0,Qiryat Mal'akhi,0.46,83
57,Ofakim,31.0,Ofaqim,0.91,83
82,Beer Yaakov,2530.0,Be'er Ya'aqov,0.23,83
56,Baka al-Gharbiya,6000.0,Baqa Al-Gharbiyye,0.96,85
7,Netania,7400.0,Netanya,1.51,86
222,Tzipori,613.0,Zippori,0.87,86
26,Kiryat Ata,6800.0,Qiryat Atta,0.31,86
